"[0.9335073232650757, 0.34502050280570984, -0.2079009711742401]","[0.9369897842407227, 0.3342699110507965, -0.1916578859090805]","[0.9397503137588501, 0.3345307409763336, -0.19163349270820618]","[0.9425022006034851, 0.3347359895706177, -0.1916692703962326]","[0.9289334416389465, 0.33461207151412964, -0.19126537442207336]","[0.9262267351150513, 0.3351922035217285, -0.19131985306739807]","[0.923714280128479, 0.3357822299003601, -0.19138671457767487]","[0.945785403251648, 0.3411109447479248, -0.11556458473205566]","[0.9214917421340942, 0.3420514464378357, -0.11135493218898773]","[0.9383946657180786, 0.35878705978393555, -0.1800975799560547]","[0.9288546442985535, 0.3586699962615967, -0.17930704355239868]","[0.962342381477356, 0.3965836763381958, -0.10668134689331055]","[0.908612847328186, 0.3954252004623413, -0.10784832388162613]","[0.9749079942703247, 0.31753528118133545, -0.17259332537651062]","[0.9003369212150574, 0.3058101236820221, -0.16873973608016968]","[0.952070415019989, 0.23641613125801086, -0.19425760209560394]","[0.9272923469543457, 0.2284577488899231, -0.1714918464422226]","[0.9471489191055298, 0.21491529047489166, -0.21717484295368195]","[0.9369342923164368, 0.20972156524658203, -0.1987425684928894]","[0.9449489712715149, 0.21471568942070007, -0.20971278846263885]","[0.936884880065918, 0.21111994981765747, -0.1876123547554016]","[0.9451807141304016, 0.22232502698898315, -0.19523568451404572]","[0.9350271224975586, 0.21892739832401276, -0.17192955315113068]","[0.9516986608505249, 0.5845016837120056, -0.003423029091209173]","[0.9130979776382446, 0.5831473469734192, 0.0033016116358339787]","[0.9843257069587708, 0.6963170766830444, -0.009715775959193707]","[0.8839093446731567, 0.6891242861747742, -0.020354406908154488]","[0.99754399061203, 0.7878363132476807, 0.16218401491641998]","[0.86468905210495, 0.7721682786941528, 0.14599329233169556]","[0.9923016428947449, 0.7998148798942566, 0.17503051459789276]","[0.8662749528884888, 0.7844746708869934, 0.1584283709526062]","[1.0066449642181396, 0.837081253528595, 0.08962403982877731]","[0.858244776725769, 0.8162829875946045, 0.0751383900642395]"
"[0.8863484263420105, 0.34488293528556824, -0.2180710732936859]","[0.8899911046028137, 0.3342454135417938, -0.2024756669998169]","[0.8927093744277954, 0.3344567120075226, -0.20243918895721436]","[0.8954674601554871, 0.33460068702697754, -0.2024695873260498]","[0.8820573687553406, 0.33451133966445923, -0.20237238705158234]","[0.8790855407714844, 0.3349772095680237, -0.20242302119731903]","[0.8762480616569519, 0.33540794253349304, -0.2024807184934616]","[0.8995278477668762, 0.34108766913414, -0.1265452802181244]","[0.8745530843734741, 0.34184736013412476, -0.12404759228229523]","[0.8900302648544312, 0.35866257548332214, -0.19028498232364655]","[0.8819237947463989, 0.3584246039390564, -0.18998372554779053]","[0.9130688905715942, 0.39521005749702454, -0.11643034219741821]","[0.8602302670478821, 0.3935062885284424, -0.10854518413543701]","[0.9255852699279785, 0.3156345784664154, -0.16829589009284973]","[0.8520158529281616, 0.3053850531578064, -0.16161899268627167]","[0.9044904708862305, 0.2365136742591858, -0.1784726232290268]","[0.8781912922859192, 0.22897307574748993, -0.16432711482048035]","[0.8990103006362915, 0.21489280462265015, -0.1991945207118988]","[0.8887495994567871, 0.20988216996192932, -0.19002151489257812]","[0.8964716792106628, 0.21483656764030457, -0.19410023093223572]","[0.8888198733329773, 0.21163351833820343, -0.1795414835214615]","[0.8967044949531555, 0.22244957089424133, -0.1797560304403305]","[0.8872624635696411, 0.2195536494255066, -0.16480517387390137]","[0.9037531018257141, 0.5833529829978943, -0.0034078967291861773]","[0.8666958808898926, 0.5800966620445251, 0.0032833211589604616]","[0.9361244440078735, 0.6926403045654297, -0.027459388598799706]","[0.8360415697097778, 0.6886295080184937, -0.0490119606256485]","[0.9508169293403625, 0.7816393375396729, 0.14174911379814148]","[0.8174680471420288, 0.7709223628044128, 0.11941207945346832]","[0.948316216468811, 0.7912663817405701, 0.15417280793190002]","[0.8194047212600708, 0.7814953327178955, 0.13193297386169434]","[0.9537287950515747, 0.8268288373947144, 0.06576316803693771]","[0.8101948499679565, 0.815596342086792, 0.048735421150922775]"
"[0.8370801210403442, 0.3449496924877167, -0.21125788986682892]","[0.8406826257705688, 0.33426377177238464, -0.19591403007507324]","[0.8432595133781433, 0.3344726860523224, -0.19587895274162292]","[0.8459774851799011, 0.3346118927001953, -0.19591449201107025]","[0.8328925967216492, 0.33455517888069153, -0.19589553773403168]","[0.8302215337753296, 0.33504563570022583, -0.19593501091003418]","[0.8277081251144409, 0.33547502756118774, -0.19597527384757996]","[0.8493086695671082, 0.3411197364330292, -0.12637338042259216]","[0.8259813189506531, 0.34189414978027344, -0.12193282693624496]","[0.8417888879776001, 0.35877516865730286, -0.18623201549053192]","[0.8328032493591309, 0.3585330843925476, -0.18626201152801514]","[0.8651455640792847, 0.39547479152679443, -0.11657457053661346]","[0.8126923441886902, 0.3936743438243866, -0.10865305364131927]","[0.8766945600509644, 0.31567147374153137, -0.17540164291858673]","[0.805193305015564, 0.30564671754837036, -0.16239266097545624]","[0.8560236096382141, 0.23660242557525635, -0.19281987845897675]","[0.8303114175796509, 0.22982341051101685, -0.16579456627368927]","[0.8503427505493164, 0.21495506167411804, -0.21491599082946777]","[0.8398537635803223, 0.21020938456058502, -0.19102051854133606]","[0.8481342196464539, 0.21489599347114563, -0.20804564654827118]","[0.8398051261901855, 0.21191638708114624, -0.18054848909378052]","[0.8485245704650879, 0.22256965935230255, -0.19316096603870392]","[0.8378574252128601, 0.22004005312919617, -0.16531826555728912]","[0.854844868183136, 0.5830888152122498, -0.003204223932698369]","[0.8165410161018372, 0.579891562461853, 0.0030697970651090145]","[0.8867135047912598, 0.690302848815918, -0.024052854627370834]","[0.7884954810142517, 0.6877041459083557, -0.039882492274045944]","[0.9027131795883179, 0.7787559628486633, 0.14749547839164734]","[0.7683346271514893, 0.7703033685684204, 0.1250302642583847]","[0.9000897407531738, 0.790156364440918, 0.15999963879585266]","[0.7706397771835327, 0.7813867330551147, 0.13728073239326477]","[0.9065149426460266, 0.822702169418335, 0.07204170525074005]","[0.7622082829475403, 0.8145377039909363, 0.056214340031147]"
"[0.8007407188415527, 0.34496942162513733, -0.21108734607696533]","[0.8044780492782593, 0.3342909812927246, -0.1956198662519455]","[0.8069425821304321, 0.334505558013916, -0.19558660686016083]","[0.8092151880264282, 0.334696501493454, -0.1956229954957962]","[0.7966712117195129, 0.3345523476600647, -0.1958049088716507]","[0.7935264706611633, 0.3349882662296295, -0.19584804773330688]","[0.7906009554862976, 0.335359126329422, -0.19589382410049438]","[0.8128618001937866, 0.3415031135082245, -0.12618494033813477]","[0.7872524857521057, 0.3417894244194031, -0.12297295033931732]","[0.8043899536132812, 0.35879653692245483, -0.18569739162921906]","[0.7965624332427979, 0.358564555644989, -0.18559907376766205]","[0.8274456858634949, 0.39527228474617004, -0.11594851315021515]","[0.7734077572822571, 0.39343905448913574, -0.11232270300388336]","[0.8383731842041016, 0.3151785433292389, -0.1605118215084076]","[0.764900803565979, 0.30551791191101074, -0.17238228023052216]","[0.8154253959655762, 0.2363729476928711, -0.17202264070510864]","[0.7914562821388245, 0.22979258000850677, -0.17167283594608307]","[0.8104292154312134, 0.21425685286521912, -0.1927456557750702]","[0.8006775975227356, 0.21022243797779083, -0.196288600564003]","[0.8085137605667114, 0.21470943093299866, -0.18652424216270447]","[0.8008660078048706, 0.2119772732257843, -0.18403562903404236]","[0.8086050152778625, 0.2224290817975998, -0.17293450236320496]","[0.7993929386138916, 0.22007335722446442, -0.17059506475925446]","[0.8165782690048218, 0.5828527808189392, -0.0014389336574822664]","[0.7784045934677124, 0.5791946649551392, 0.0013111612061038613]","[0.8492418527603149, 0.6888836026191711, -0.02797313593327999]","[0.7508660554885864, 0.6871398091316223, -0.06483222544193268]","[0.8622056841850281, 0.7752647995948792, 0.14543533325195312]","[0.7304258346557617, 0.768616795539856, 0.10955645889043808]","[0.8597080111503601, 0.7865387201309204, 0.15843746066093445]","[0.7320054769515991, 0.7759249210357666, 0.12310098111629486]","[0.8663042187690735, 0.8192433714866638, 0.07444179803133011]","[0.7270746827125549, 0.8143607378005981, 0.04220115393400192]"
"[0.7716892957687378, 0.3453802466392517, -0.21450941264629364]","[0.7759639024734497, 0.33451926708221436, -0.1990562379360199]","[0.7788602709770203, 0.3346368670463562, -0.199030801653862]","[0.7815859913825989, 0.33477485179901123, -0.199062779545784]","[0.7672406435012817, 0.33488336205482483, -0.19909147918224335]","[0.7646313309669495, 0.33521199226379395, -0.19914625585079193]","[0.7624305486679077, 0.33555349707603455, -0.19921672344207764]","[0.7855373024940491, 0.3415015935897827, -0.12665992975234985]","[0.7619209289550781, 0.34178972244262695, -0.12406095117330551]","[0.7765751481056213, 0.35904455184936523, -0.18806584179401398]","[0.7674480676651001, 0.358734667301178, -0.1879584640264511]","[0.7987114787101746, 0.39511802792549133, -0.11555391550064087]","[0.7469766736030579, 0.39321786165237427, -0.11562027782201767]","[0.8109235763549805, 0.31521356105804443, -0.1627686768770218]","[0.7415332198143005, 0.3047906756401062, -0.17186734080314636]","[0.7898807525634766, 0.2368091195821762, -0.17578157782554626]","[0.7658641934394836, 0.2295651137828827, -0.171647310256958]","[0.7838298678398132, 0.2143504023551941, -0.1959276795387268]","[0.7742354869842529, 0.2099473923444748, -0.19616445899009705]","[0.7820557951927185, 0.21473102271556854, -0.18895885348320007]","[0.7745519876480103, 0.21181514859199524, -0.18421854078769684]","[0.7826653122901917, 0.2224586457014084, -0.17630437016487122]","[0.7729824781417847, 0.2198571115732193, -0.17060790956020355]","[0.7890321612358093, 0.582819938659668, -0.0006696200580336154]","[0.7529217004776001, 0.5789718627929688, 0.0005266165244393051]","[0.8209977149963379, 0.6877067685127258, -0.02782798931002617]","[0.7223181128501892, 0.6850956678390503, -0.05138317868113518]","[0.8359753489494324, 0.7751187086105347, 0.15019755065441132]","[0.7026979327201843, 0.7684183716773987, 0.1192270889878273]","[0.8330396413803101, 0.7874633073806763, 0.1635955572128296]","[0.7035456299781799, 0.7764896154403687, 0.1320779174566269]","[0.841666579246521, 0.8171836733818054, 0.07905998826026917]","[0.6979234218597412, 0.8140792846679688, 0.04881567880511284]"
"[0.7622456550598145, 0.345199316740036, -0.2566855549812317]","[0.7658172845840454, 0.3344581723213196, -0.2412487268447876]","[0.7682024240493774, 0.3345460593700409, -0.24119766056537628]","[0.7705708742141724, 0.33460837602615356, -0.24122869968414307]","[0.758746325969696, 0.33474770188331604, -0.24225857853889465]","[0.7560714483261108, 0.3349911868572235, -0.2423260509967804]","[0.753246545791626, 0.33522796630859375, -0.24240215122699738]","[0.7734741568565369, 0.3413377106189728, -0.1585959494113922]","[0.7510980367660522, 0.3414691090583801, -0.1613219678401947]","[0.7654342651367188, 0.3586946725845337, -0.2255437821149826]","[0.7580360174179077, 0.3583312928676605, -0.22686991095542908]","[0.78878253698349, 0.39499175548553467, -0.12870892882347107]","[0.7359833717346191, 0.39150652289390564, -0.14679542183876038]","[0.8015173077583313, 0.31485965847969055, -0.16709518432617188]","[0.7303016185760498, 0.3036240339279175, -0.2007133662700653]","[0.7800474762916565, 0.2367948591709137, -0.18053096532821655]","[0.7548321485519409, 0.22953809797763824, -0.2035328447818756]","[0.7738192081451416, 0.21428656578063965, -0.19779090583324432]","[0.7635841369628906, 0.2099466770887375, -0.22894516587257385]","[0.7714251279830933, 0.21469184756278992, -0.18946805596351624]","[0.7641451954841614, 0.21184790134429932, -0.21878783404827118]","[0.7718557119369507, 0.22233690321445465, -0.18080177903175354]","[0.7629541158676147, 0.21985119581222534, -0.2035219669342041]","[0.780422568321228, 0.5815857648849487, 0.0009273605537600815]","[0.7432613968849182, 0.5788893103599548, -0.0011187940835952759]","[0.8106626272201538, 0.687947154045105, -0.002475707558915019]","[0.7119223475456238, 0.6851703524589539, -0.03125212714076042]","[0.8243764638900757, 0.7752211093902588, 0.196877121925354]","[0.6929985880851746, 0.7679828405380249, 0.17096483707427979]","[0.8209677934646606, 0.7866647243499756, 0.21294040977954865]","[0.6954312324523926, 0.7761101722717285, 0.18735548853874207]","[0.8296589851379395, 0.8178452253341675, 0.1293083131313324]","[0.6869434118270874, 0.8139339089393616, 0.1051827222108841]"
"[0.759771466255188, 0.34580564498901367, -0.23839202523231506]","[0.7634716033935547, 0.3347342908382416, -0.22334174811840057]","[0.7661800384521484, 0.3347339928150177, -0.22333455085754395]","[0.7687767148017883, 0.3347408175468445, -0.22337067127227783]","[0.7555886507034302, 0.33535489439964294, -0.21977141499519348]","[0.7531549334526062, 0.33556944131851196, -0.2198474407196045]","[0.7512878179550171, 0.3358279764652252, -0.21993187069892883]","[0.7724378705024719, 0.34132301807403564, -0.14252424240112305]","[0.7499529719352722, 0.34179529547691345, -0.12782835960388184]","[0.7645803689956665, 0.3591497242450714, -0.20774976909160614]","[0.7559694051742554, 0.3588711619377136, -0.2031048834323883]","[0.7876256704330444, 0.3949660360813141, -0.11801785230636597]","[0.7363197803497314, 0.3916461169719696, -0.11668825149536133]","[0.7990288138389587, 0.315191388130188, -0.16960455477237701]","[0.7291818857192993, 0.30381014943122864, -0.17339448630809784]","[0.7794176936149597, 0.23818372189998627, -0.19269733130931854]","[0.7550281286239624, 0.23028229176998138, -0.1884462535381317]","[0.7738904356956482, 0.21620716154575348, -0.21491701900959015]","[0.7635678052902222, 0.21070808172225952, -0.21821120381355286]","[0.7713079452514648, 0.2156149297952652, -0.20774662494659424]","[0.7636338472366333, 0.21217164397239685, -0.20964963734149933]","[0.7718252539634705, 0.22313743829727173, -0.19377383589744568]","[0.7620063424110413, 0.22020882368087769, -0.18986934423446655]","[0.7774473428726196, 0.5815392136573792, -0.00022193443146534264]","[0.7403849959373474, 0.5788508653640747, 6.464529724325985e-05]","[0.8101062774658203, 0.6881694793701172, -0.0136959757655859]","[0.7117083668708801, 0.6850103735923767, -0.037589266896247864]","[0.8257845044136047, 0.7757285833358765, 0.1820838749408722]","[0.6915686726570129, 0.7680137753486633, 0.14388702809810638]","[0.8227826356887817, 0.7871163487434387, 0.19594602286815643]","[0.6928529739379883, 0.7771126627922058, 0.15730074048042297]","[0.8309488296508789, 0.8185065388679504, 0.1266760528087616]","[0.6857814192771912, 0.8139361143112183, 0.06197906658053398]"
"[0.7597054839134216, 0.3457823097705841, -0.23112568259239197]","[0.7633780241012573, 0.33476686477661133, -0.21548454463481903]","[0.7661349773406982, 0.3347967863082886, -0.21546287834644318]","[0.7688717246055603, 0.3348332643508911, -0.21549539268016815]","[0.7554189562797546, 0.3353656232357025, -0.21392837166786194]","[0.7527406811714172, 0.33563193678855896, -0.21399548649787903]","[0.7502052187919617, 0.33594509959220886, -0.21406610310077667]","[0.7720268964767456, 0.3415830433368683, -0.13718177378177643]","[0.7483669519424438, 0.3422239124774933, -0.12843045592308044]","[0.7646757364273071, 0.3591567873954773, -0.20211021602153778]","[0.7552291750907898, 0.35889899730682373, -0.19991210103034973]","[0.7882322072982788, 0.3967251181602478, -0.12333377450704575]","[0.7352173328399658, 0.39474496245384216, -0.1181122213602066]","[0.8004749417304993, 0.3156498372554779, -0.1874857395887375]","[0.727780282497406, 0.305045485496521, -0.17931105196475983]","[0.7785242795944214, 0.23811055719852448, -0.21163058280944824]","[0.7532980442047119, 0.23065617680549622, -0.19090136885643005]","[0.7728707790374756, 0.21607539057731628, -0.23489101231098175]","[0.7625789642333984, 0.2108106017112732, -0.21875372529029846]","[0.7706034183502197, 0.21547260880470276, -0.22739633917808533]","[0.762404203414917, 0.21218164265155792, -0.20802684128284454]","[0.7709853649139404, 0.22304370999336243, -0.21247859299182892]","[0.7605381608009338, 0.22023247182369232, -0.19125203788280487]","[0.7774895429611206, 0.5815348625183105, -0.0019085530657321215]","[0.7397344708442688, 0.5788822174072266, 0.0017640450969338417]","[0.8102903366088867, 0.6873432397842407, -0.01938306912779808]","[0.710996150970459, 0.6850825548171997, -0.04619596526026726]","[0.8250504732131958, 0.7758401036262512, 0.16331860423088074]","[0.690869927406311, 0.768511950969696, 0.12085497379302979]","[0.822594940662384, 0.7876091599464417, 0.1763412058353424]","[0.69208824634552, 0.7791075110435486, 0.13286250829696655]","[0.8286870121955872, 0.8193031549453735, 0.087327741086483]","[0.6856003999710083, 0.8141794204711914, 0.0418776199221611]"
"[0.7597767114639282, 0.34601959586143494, -0.22841104865074158]","[0.7633395195007324, 0.33496010303497314, -0.21250860393047333]","[0.7660497426986694, 0.33498385548591614, -0.21248066425323486]","[0.7685469388961792, 0.3350347578525543, -0.21250924468040466]","[0.755561351776123, 0.3355640470981598, -0.2116577923297882]","[0.7529881596565247, 0.3358854353427887, -0.21172204613685608]","[0.7506645321846008, 0.3362865149974823, -0.21178805828094482]","[0.7722309827804565, 0.34181636571884155, -0.13505801558494568]","[0.7484804391860962, 0.34256598353385925, -0.12856753170490265]","[0.7645696401596069, 0.35934239625930786, -0.1999274492263794]","[0.7556557059288025, 0.35919782519340515, -0.1985575407743454]","[0.7891438603401184, 0.39683690667152405, -0.12247307598590851]","[0.7360203862190247, 0.394864946603775, -0.1188637763261795]","[0.7995730042457581, 0.31566792726516724, -0.18459820747375488]","[0.7276952862739563, 0.3052867352962494, -0.1798628270626068]","[0.778823733329773, 0.23796223104000092, -0.2060193121433258]","[0.7532616257667542, 0.23064155876636505, -0.18809962272644043]","[0.7730289697647095, 0.21591591835021973, -0.22874419391155243]","[0.7625628709793091, 0.21082469820976257, -0.2155960500240326]","[0.7708339691162109, 0.2153622955083847, -0.2213086634874344]","[0.7624483108520508, 0.21215678751468658, -0.2042938768863678]","[0.7712329626083374, 0.22291603684425354, -0.20681217312812805]","[0.7606357932090759, 0.22014769911766052, -0.1882653534412384]","[0.7778238654136658, 0.581610381603241, -0.002341523300856352]","[0.7398651838302612, 0.5789112448692322, 0.002188210841268301]","[0.8109623789787292, 0.6869012117385864, -0.007872646674513817]","[0.7111450433731079, 0.6851348280906677, -0.03466904163360596]","[0.8255215883255005, 0.775781512260437, 0.17302225530147552]","[0.691238522529602, 0.7685967087745667, 0.1267804652452469]","[0.823381245136261, 0.7879572510719299, 0.18632212281227112]","[0.6925130486488342, 0.7795175909996033, 0.13787931203842163]","[0.8291620016098022, 0.8198521733283997, 0.09504155069589615]","[0.6856004595756531, 0.8141337633132935, 0.04527145251631737]"
"[0.7596782445907593, 0.34609925746917725, -0.22739115357398987]","[0.7632821798324585, 0.335040420293808, -0.21124902367591858]","[0.7660131454467773, 0.3350629508495331, -0.21121756732463837]","[0.7684968709945679, 0.3351261019706726, -0.21124310791492462]","[0.7554943561553955, 0.3356369435787201, -0.2108398973941803]","[0.752934455871582, 0.3359883725643158, -0.2109055519104004]","[0.750622034072876, 0.3364350199699402, -0.21097059547901154]","[0.7723425626754761, 0.341961532831192, -0.13403239846229553]","[0.7484388947486877, 0.34273114800453186, -0.12948185205459595]","[0.7644673585891724, 0.35941022634506226, -0.19913384318351746]","[0.7555986642837524, 0.35932719707489014, -0.1983591467142105]","[0.7894790172576904, 0.39694395661354065, -0.12190248817205429]","[0.7359789609909058, 0.39495521783828735, -0.12213142216205597]","[0.7996326684951782, 0.3156811594963074, -0.18277062475681305]","[0.7275070548057556, 0.3054748773574829, -0.18558987975120544]","[0.7788999080657959, 0.2378569096326828, -0.20291976630687714]","[0.7531718611717224, 0.23063445091247559, -0.1901656687259674]","[0.7731399536132812, 0.21579164266586304, -0.22531354427337646]","[0.7625194787979126, 0.21082191169261932, -0.21760575473308563]","[0.7709208726882935, 0.21527762711048126, -0.21792146563529968]","[0.7624252438545227, 0.21207427978515625, -0.20518414676189423]","[0.7713049650192261, 0.22282102704048157, -0.2036859691143036]","[0.7606257200241089, 0.21999679505825043, -0.18989740312099457]","[0.7780274152755737, 0.581863284111023, -0.0021613435819745064]","[0.7397841215133667, 0.5790277123451233, 0.00200183829292655]","[0.8121808767318726, 0.6872413754463196, -0.0037811119109392166]","[0.711516797542572, 0.6851199269294739, -0.036214735358953476]","[0.8256400227546692, 0.7759658098220825, 0.18051281571388245]","[0.6913255453109741, 0.7686247825622559, 0.12818002700805664]","[0.8233036994934082, 0.788121223449707, 0.19443626701831818]","[0.6925697922706604, 0.7795366048812866, 0.1401318609714508]","[0.8297181129455566, 0.8202223181724548, 0.10463239997625351]","[0.6857042908668518, 0.8133794069290161, 0.050698596984148026]"
